alias_id,entity_id,alias_text,normalized_alias,alias_type,priority,is_official
1,1,茅台,茅台,common_alias,1,false
2,1,贵州茅台,贵州茅台,official_name,2,true
3,2,五粮液,五粮液,official_name,2,true
4,3,沪深300,沪深300,official_name,2,true
5,4,300ETF,300ETF,common_alias,2,false
6,4,沪深300ETF,沪深300ETF,official_name,1,true
7,5,大盘,大盘,common_alias,10,false
9,7,PE,PE,common_alias,1,false
10,7,市盈率,市盈率,official_name,1,true
11,8,平安,平安,common_alias,3,false
12,8,中国平安,中国平安,official_name,2,true
13,9,创业板ETF,创业板ETF,official_name,2,true
14,9,创业板指ETF,创业板指ETF,common_alias,3,false
15,10,证券ETF,证券ETF,official_name,2,true
16,11,平安银行,平安银行,official_name,1,true
17,11,平安,平安,common_alias,3,false
18,5,上证指数,上证指数,official_name,1,true
19,5,上证综指,上证综指,common_alias,2,false
20,5,沪指,沪指,common_alias,2,false
21,12,深证成指,深证成指,official_name,1,true
22,12,深成指,深成指,common_alias,2,false
23,12,深圳成指,深圳成指,common_alias,2,false
24,13,创业板指,创业板指,official_name,1,true
25,13,创业板指数,创业板指数,common_alias,2,false
26,13,创业板,创业板,common_alias,2,false
27,14,科创50,科创50,official_name,1,true
28,14,科创50指数,科创50指数,common_alias,2,false
29,14,上证科创板50,上证科创板50,common_alias,2,false
30,3,沪深300指数,沪深300指数,common_alias,2,false
31,3,CSI300,CSI300,common_alias,2,false
32,15,中证500,中证500,official_name,1,true
33,15,中证500指数,中证500指数,common_alias,2,false
34,15,CSI500,CSI500,common_alias,2,false
35,16,中证1000,中证1000,official_name,1,true
36,16,中证1000指数,中证1000指数,common_alias,2,false
37,16,CSI1000,CSI1000,common_alias,2,false
38,17,上证50,上证50,official_name,1,true
39,17,上证50指数,上证50指数,common_alias,2,false
40,17,沪市50,沪市50,common_alias,2,false
41,18,北证50,北证50,official_name,1,true
42,18,北证50指数,北证50指数,common_alias,2,false
43,18,北交所50,北交所50,common_alias,2,false
44,19,恒生指数,恒生指数,official_name,1,true
45,19,恒指,恒指,common_alias,2,false
46,19,港股大盘,港股大盘,common_alias,2,false
47,20,纳斯达克,纳斯达克,common_alias,1,false
48,20,纳指,纳指,common_alias,2,false
49,20,纳斯达克指数,纳斯达克指数,common_alias,2,false
50,20,纳斯达克综合指数,纳斯达克综合指数,official_name,2,true
51,21,标普500,标普500,official_name,1,true
52,21,标普500指数,标普500指数,common_alias,2,false
53,21,标普,标普,common_alias,2,false
54,21,S&P500,S&P500,common_alias,2,false
55,21,SP500,SP500,common_alias,2,false
56,22,道琼斯,道琼斯,common_alias,1,false
57,22,道指,道指,common_alias,2,false
58,22,道琼斯指数,道琼斯指数,common_alias,2,false
59,22,道琼斯工业平均指数,道琼斯工业平均指数,official_name,2,true
60,23,白酒,白酒,official_name,1,true
61,23,白酒板块,白酒板块,common_alias,2,false
62,23,白酒行业,白酒行业,common_alias,2,false
63,24,半导体,半导体,official_name,1,true
64,24,半导体板块,半导体板块,common_alias,2,false
65,24,芯片,芯片,common_alias,2,false
66,24,芯片板块,芯片板块,common_alias,2,false
67,25,银行,银行,official_name,1,true
68,25,银行板块,银行板块,common_alias,2,false
69,25,银行业,银行业,common_alias,2,false
70,26,保险,保险,official_name,1,true
71,26,保险板块,保险板块,common_alias,2,false
72,26,保险业,保险业,common_alias,2,false
73,27,证券,证券,official_name,1,true
74,27,证券板块,证券板块,common_alias,2,false
75,27,券商,券商,common_alias,2,false
76,27,券商板块,券商板块,common_alias,2,false
77,28,医药,医药,official_name,1,true
78,28,医药板块,医药板块,common_alias,2,false
79,28,医药行业,医药行业,common_alias,2,false
80,29,新能源,新能源,official_name,1,true
81,29,新能源板块,新能源板块,common_alias,2,false
82,29,新能源行业,新能源行业,common_alias,2,false
83,30,光伏,光伏,official_name,1,true
84,30,光伏板块,光伏板块,common_alias,2,false
85,30,光伏行业,光伏行业,common_alias,2,false
86,31,煤炭,煤炭,official_name,1,true
87,31,煤炭板块,煤炭板块,common_alias,2,false
88,31,煤炭行业,煤炭行业,common_alias,2,false
89,32,有色,有色,common_alias,1,false
90,32,有色板块,有色板块,common_alias,2,false
91,32,有色金属,有色金属,official_name,2,true
92,32,有色金属板块,有色金属板块,common_alias,2,false
93,33,地产,地产,official_name,1,true
94,33,地产板块,地产板块,common_alias,2,false
95,33,房地产,房地产,common_alias,2,false
96,33,房地产板块,房地产板块,common_alias,2,false
97,34,军工,军工,official_name,1,true
98,34,军工板块,军工板块,common_alias,2,false
99,34,国防军工,国防军工,common_alias,2,false
100,35,汽车板块,汽车板块,common_alias,1,false
101,35,汽车行业,汽车行业,official_name,2,true
102,36,AI,AI,common_alias,1,false
103,36,AI板块,AI板块,common_alias,2,false
104,36,人工智能,人工智能,official_name,2,true
105,36,人工智能板块,人工智能板块,common_alias,2,false
106,37,机器人,机器人,official_name,1,true
107,37,机器人板块,机器人板块,common_alias,2,false
108,38,消费,消费,official_name,1,true
109,38,消费板块,消费板块,common_alias,2,false
110,38,大消费,大消费,common_alias,2,false
111,39,科技,科技,official_name,1,true
112,39,科技板块,科技板块,common_alias,2,false
113,39,科技股,科技股,common_alias,2,false
114,40,CPI,CPI,official_name,1,true
115,40,居民消费价格指数,居民消费价格指数,common_alias,2,false
116,40,消费者价格指数,消费者价格指数,common_alias,2,false
117,41,PPI,PPI,official_name,1,true
118,41,工业生产者出厂价格指数,工业生产者出厂价格指数,common_alias,2,false
119,42,PMI,PMI,official_name,1,true
120,42,采购经理指数,采购经理指数,common_alias,2,false
121,42,制造业PMI,制造业PMI,common_alias,2,false
122,43,GDP,GDP,official_name,1,true
123,43,国内生产总值,国内生产总值,common_alias,2,false
124,44,M2,M2,official_name,1,true
125,44,广义货币,广义货币,common_alias,2,false
126,44,广义货币供应量,广义货币供应量,common_alias,2,false
127,45,社融,社融,common_alias,1,false
128,45,社会融资规模,社会融资规模,official_name,2,true
129,46,LPR,LPR,official_name,1,true
130,46,贷款市场报价利率,贷款市场报价利率,common_alias,2,false
131,47,MLF,MLF,official_name,1,true
132,47,中期借贷便利,中期借贷便利,common_alias,2,false
133,48,逆回购,逆回购,official_name,1,true
134,48,公开市场逆回购,公开市场逆回购,common_alias,2,false
135,49,十年期国债收益率,十年期国债收益率,official_name,1,true
136,49,10年期国债收益率,10年期国债收益率,common_alias,2,false
137,49,十年国债收益率,十年国债收益率,common_alias,2,false
138,50,汇率,汇率,common_alias,1,false
139,50,人民币汇率,人民币汇率,official_name,2,true
140,50,美元兑人民币,美元兑人民币,common_alias,2,false
141,51,美元指数,美元指数,official_name,1,true
142,51,DXY,DXY,common_alias,2,false
143,52,通胀,通胀,official_name,1,true
144,52,通货膨胀,通货膨胀,common_alias,2,false
145,53,降息,降息,official_name,1,true
146,53,降低利率,降低利率,common_alias,2,false
147,54,降准,降准,official_name,1,true
148,54,降低存款准备金率,降低存款准备金率,common_alias,2,false
149,54,下调存款准备金率,下调存款准备金率,common_alias,2,false
150,11,000001.SZ,000001.SZ,symbol,1,false
151,11,000001,000001,symbol,2,false
152,55,万科Ａ,万科Ａ,official_name,1,true
153,55,000002.SZ,000002.SZ,symbol,1,false
154,55,000002,000002,symbol,2,false
155,55,万  科Ａ,万  科Ａ,common_alias,2,false
156,56,*ST国华,*ST国华,official_name,1,true
157,56,000004.SZ,000004.SZ,symbol,1,false
158,56,000004,000004,symbol,2,false
159,57,深振业Ａ,深振业Ａ,official_name,1,true
160,57,000006.SZ,000006.SZ,symbol,1,false
161,57,000006,000006,symbol,2,false
162,58,全新好,全新好,official_name,1,true
163,58,000007.SZ,000007.SZ,symbol,1,false
164,58,000007,000007,symbol,2,false
165,59,神州高铁,神州高铁,official_name,1,true
166,59,000008.SZ,000008.SZ,symbol,1,false
167,59,000008,000008,symbol,2,false
168,60,中国宝安,中国宝安,official_name,1,true
169,60,000009.SZ,000009.SZ,symbol,1,false
170,60,000009,000009,symbol,2,false
171,61,美丽生态,美丽生态,official_name,1,true
172,61,000010.SZ,000010.SZ,symbol,1,false
173,61,000010,000010,symbol,2,false
174,62,深物业A,深物业A,official_name,1,true
175,62,000011.SZ,000011.SZ,symbol,1,false
176,62,000011,000011,symbol,2,false
177,63,南玻Ａ,南玻Ａ,official_name,1,true
178,63,000012.SZ,000012.SZ,symbol,1,false
179,63,000012,000012,symbol,2,false
180,63,南  玻Ａ,南  玻Ａ,common_alias,2,false
181,64,沙河股份,沙河股份,official_name,1,true
182,64,000014.SZ,000014.SZ,symbol,1,false
183,64,000014,000014,symbol,2,false
184,65,深康佳Ａ,深康佳Ａ,official_name,1,true
185,65,000016.SZ,000016.SZ,symbol,1,false
186,65,000016,000016,symbol,2,false
187,66,深中华A,深中华A,official_name,1,true
188,66,000017.SZ,000017.SZ,symbol,1,false
189,66,000017,000017,symbol,2,false
190,67,深粮控股,深粮控股,official_name,1,true
191,67,000019.SZ,000019.SZ,symbol,1,false
192,67,000019,000019,symbol,2,false
193,68,深华发Ａ,深华发Ａ,official_name,1,true
194,68,000020.SZ,000020.SZ,symbol,1,false
195,68,000020,000020,symbol,2,false
196,69,深科技,深科技,official_name,1,true
197,69,000021.SZ,000021.SZ,symbol,1,false
198,69,000021,000021,symbol,2,false
199,70,特力Ａ,特力Ａ,official_name,1,true
200,70,000025.SZ,000025.SZ,symbol,1,false
201,70,000025,000025,symbol,2,false
202,70,特  力Ａ,特  力Ａ,common_alias,2,false
203,71,飞亚达,飞亚达,official_name,1,true
204,71,000026.SZ,000026.SZ,symbol,1,false
205,71,000026,000026,symbol,2,false
206,72,深圳能源,深圳能源,official_name,1,true
207,72,000027.SZ,000027.SZ,symbol,1,false
208,72,000027,000027,symbol,2,false
209,73,国药一致,国药一致,official_name,1,true
210,73,000028.SZ,000028.SZ,symbol,1,false
211,73,000028,000028,symbol,2,false
212,74,深深房Ａ,深深房Ａ,official_name,1,true
213,74,000029.SZ,000029.SZ,symbol,1,false
214,74,000029,000029,symbol,2,false
215,75,富奥股份,富奥股份,official_name,1,true
216,75,000030.SZ,000030.SZ,symbol,1,false
217,75,000030,000030,symbol,2,false
218,76,大悦城,大悦城,official_name,1,true
219,76,000031.SZ,000031.SZ,symbol,1,false
220,76,000031,000031,symbol,2,false
221,77,深桑达Ａ,深桑达Ａ,official_name,1,true
222,77,000032.SZ,000032.SZ,symbol,1,false
223,77,000032,000032,symbol,2,false
224,78,神州数码,神州数码,official_name,1,true
225,78,000034.SZ,000034.SZ,symbol,1,false
226,78,000034,000034,symbol,2,false
227,79,中国天楹,中国天楹,official_name,1,true
228,79,000035.SZ,000035.SZ,symbol,1,false
229,79,000035,000035,symbol,2,false
230,80,华联控股,华联控股,official_name,1,true
231,80,000036.SZ,000036.SZ,symbol,1,false
232,80,000036,000036,symbol,2,false
233,81,深南电A,深南电A,official_name,1,true
234,81,000037.SZ,000037.SZ,symbol,1,false
235,81,000037,000037,symbol,2,false
236,82,中集集团,中集集团,official_name,1,true
237,82,000039.SZ,000039.SZ,symbol,1,false
238,82,000039,000039,symbol,2,false
239,83,中洲控股,中洲控股,official_name,1,true
240,83,000042.SZ,000042.SZ,symbol,1,false
241,83,000042,000042,symbol,2,false
242,84,深纺织Ａ,深纺织Ａ,official_name,1,true
243,84,000045.SZ,000045.SZ,symbol,1,false
244,84,000045,000045,symbol,2,false
245,85,京基智农,京基智农,official_name,1,true
246,85,000048.SZ,000048.SZ,symbol,1,false
247,85,000048,000048,symbol,2,false
248,86,德赛电池,德赛电池,official_name,1,true
249,86,000049.SZ,000049.SZ,symbol,1,false
250,86,000049,000049,symbol,2,false
251,87,深天马Ａ,深天马Ａ,official_name,1,true
252,87,000050.SZ,000050.SZ,symbol,1,false
253,87,000050,000050,symbol,2,false
254,88,方大集团,方大集团,official_name,1,true
255,88,000055.SZ,000055.SZ,symbol,1,false
256,88,000055,000055,symbol,2,false
257,89,皇庭国际,皇庭国际,official_name,1,true
258,89,000056.SZ,000056.SZ,symbol,1,false
259,89,000056,000056,symbol,2,false
260,90,深赛格,深赛格,official_name,1,true
261,90,000058.SZ,000058.SZ,symbol,1,false
262,90,000058,000058,symbol,2,false
263,90,深 赛 格,深 赛 格,common_alias,2,false
264,91,华锦股份,华锦股份,official_name,1,true
265,91,000059.SZ,000059.SZ,symbol,1,false
266,91,000059,000059,symbol,2,false
267,92,中金岭南,中金岭南,official_name,1,true
268,92,000060.SZ,000060.SZ,symbol,1,false
269,92,000060,000060,symbol,2,false
270,93,农产品,农产品,official_name,1,true
271,93,000061.SZ,000061.SZ,symbol,1,false
272,93,000061,000061,symbol,2,false
273,93,农 产 品,农 产 品,common_alias,2,false
274,94,深圳华强,深圳华强,official_name,1,true
275,94,000062.SZ,000062.SZ,symbol,1,false
276,94,000062,000062,symbol,2,false
277,95,中兴通讯,中兴通讯,official_name,1,true
278,95,000063.SZ,000063.SZ,symbol,1,false
279,95,000063,000063,symbol,2,false
280,96,北方国际,北方国际,official_name,1,true
281,96,000065.SZ,000065.SZ,symbol,1,false
282,96,000065,000065,symbol,2,false
283,97,中国长城,中国长城,official_name,1,true
284,97,000066.SZ,000066.SZ,symbol,1,false
285,97,000066,000066,symbol,2,false
286,98,华控赛格,华控赛格,official_name,1,true
287,98,000068.SZ,000068.SZ,symbol,1,false
288,98,000068,000068,symbol,2,false
289,99,华侨城Ａ,华侨城Ａ,official_name,1,true
290,99,000069.SZ,000069.SZ,symbol,1,false
291,99,000069,000069,symbol,2,false
292,100,特发信息,特发信息,official_name,1,true
293,100,000070.SZ,000070.SZ,symbol,1,false
294,100,000070,000070,symbol,2,false
295,101,海王生物,海王生物,official_name,1,true
296,101,000078.SZ,000078.SZ,symbol,1,false
297,101,000078,000078,symbol,2,false
298,102,盐田港,盐田港,official_name,1,true
299,102,000088.SZ,000088.SZ,symbol,1,false
300,102,000088,000088,symbol,2,false
301,102,盐 田 港,盐 田 港,common_alias,2,false
302,103,深圳机场,深圳机场,official_name,1,true
303,103,000089.SZ,000089.SZ,symbol,1,false
304,103,000089,000089,symbol,2,false
305,104,天健集团,天健集团,official_name,1,true
306,104,000090.SZ,000090.SZ,symbol,1,false
307,104,000090,000090,symbol,2,false
308,105,广聚能源,广聚能源,official_name,1,true
309,105,000096.SZ,000096.SZ,symbol,1,false
310,105,000096,000096,symbol,2,false
311,106,中信海直,中信海直,official_name,1,true
312,106,000099.SZ,000099.SZ,symbol,1,false
313,106,000099,000099,symbol,2,false
314,107,TCL科技,TCL科技,official_name,1,true
315,107,000100.SZ,000100.SZ,symbol,1,false
316,107,000100,000100,symbol,2,false
317,108,中成股份,中成股份,official_name,1,true
318,108,000151.SZ,000151.SZ,symbol,1,false
319,108,000151,000151,symbol,2,false
320,109,丰原药业,丰原药业,official_name,1,true
321,109,000153.SZ,000153.SZ,symbol,1,false
322,109,000153,000153,symbol,2,false
323,110,川能动力,川能动力,official_name,1,true
324,110,000155.SZ,000155.SZ,symbol,1,false
